# BUSCO version is: 5.2.2 
# The lineage dataset is: mammalia_odb10 (Creation date: 2020-09-10, number of genomes: 9226, number of BUSCOs: 24)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
100at40674	Complete	DEVILCHR1	184499507	185150640	+	9734.2	5529	https://www.orthodb.org/v10?query=100at40674	G-protein coupled receptor 98
167at40674	Complete	DEVILCHR4	216958053	217134163	+	8269.7	4879	https://www.orthodb.org/v10?query=167at40674	midasin
198at40674	Complete	DEVILCHR4	111436602	112391619	-	7631.0	4480	https://www.orthodb.org/v10?query=198at40674	usherin
250at40674	Complete	DEVILCHR3	345789473	346761362	-	6873.8	3627	https://www.orthodb.org/v10?query=250at40674	low-density lipoprotein receptor-related protein 1B
255at40674	Complete	DEVILCHR6	167113639	167334932	-	8400.0	4453	https://www.orthodb.org/v10?query=255at40674	FAT atypical cadherin 4
256at40674	Complete	DEVILCHR5	83325747	83423576	-	8011.5	3874	https://www.orthodb.org/v10?query=256at40674	prolow-density lipoprotein receptor-related protein 1
279at40674	Complete	DEVILCHR2	357864316	357953281	-	9795.0	4338	https://www.orthodb.org/v10?query=279at40674	cytoplasmic dynein 1 heavy chain 1
281at40674	Complete	DEVILCHR6	170152795	170368193	-	8553.2	4344	https://www.orthodb.org/v10?query=281at40674	uncharacterized protein KIAA1109 homolog isoform X1
310at40674	Complete	DEVILCHR2	37699909	38058679	+	6680.8	4344	https://www.orthodb.org/v10?query=310at40674	hydrocephalus-inducing protein homolog
361at40674	Complete	DEVILCHR3	441602030	441643433	+	8132.7	3893	https://www.orthodb.org/v10?query=361at40674	sacsin
362at40674	Complete	DEVILCHR3	220784054	221003368	+	8399.2	4211	https://www.orthodb.org/v10?query=362at40674	E3 ubiquitin-protein ligase HERC2
424at40674	Missing
425at40674	Complete	DEVILCHR3	119182299	119493565	-	9379.6	4222	https://www.orthodb.org/v10?query=425at40674	E3 ubiquitin-protein ligase MYCBP2 isoform X1
475at40674	Complete	DEVILCHR2	198059570	198356826	+	8846.1	4133	https://www.orthodb.org/v10?query=475at40674	baculoviral IAP repeat-containing protein 6
514at40674	Complete	DEVILCHR3	404213014	404445076	+	7116.4	4096	https://www.orthodb.org/v10?query=514at40674	low-density lipoprotein receptor-related protein 2
530at40674	Complete	DEVILCHR2	2236340	2263093	+	4699.9	3464	https://www.orthodb.org/v10?query=530at40674	apolipoprotein B-100
556at40674	Complete	DEVILCHR2	522243843	522410739	+	9165.1	4315	https://www.orthodb.org/v10?query=556at40674	probable E3 ubiquitin-protein ligase HERC1
565at40674	Complete	DEVILCHR4	289876936	289980300	+	7866.6	3951	https://www.orthodb.org/v10?query=565at40674	dynein heavy chain 2, axonemal
584at40674	Complete	DEVILCHR6	120002553	120155671	-	8239.1	4147	https://www.orthodb.org/v10?query=584at40674	FAT atypical cadherin 1
587at40674	Complete	DEVILCHR3	561484731	561640694	+	6105.1	3855	https://www.orthodb.org/v10?query=587at40674	basement membrane-specific heparan sulfate proteoglycan core protein
594at40674	Complete	DEVILCHR1	592750531	592907810	+	6507.3	3623	https://www.orthodb.org/v10?query=594at40674	fibrocystin-L
626at40674	Complete	DEVILCHR3	571009471	571328160	-	7537.4	3744	https://www.orthodb.org/v10?query=626at40674	Vacuolar protein sorting 13 homolog D
629at40674	Complete	DEVILCHR3	477544545	477899876	+	7851.9	3858	https://www.orthodb.org/v10?query=629at40674	cytoplasmic dynein 2 heavy chain 1
635at40674	Complete	DEVILCHR1	80387568	80515333	-	6627.1	3516	https://www.orthodb.org/v10?query=635at40674	dynein heavy chain 1, axonemal
760at40674	Complete	DEVILCHR2	384300798	384382252	-	5946.7	3585	https://www.orthodb.org/v10?query=760at40674	protocadherin Fat 2
763at40674	Complete	DEVILCHR1	689630579	689806296	-	8260.4	3913	https://www.orthodb.org/v10?query=763at40674	probable E3 ubiquitin-protein ligase HECTD4
805at40674	Complete	DEVILCHR6	155843821	156185145	-	5734.2	3355	https://www.orthodb.org/v10?query=805at40674	extracellular matrix protein FRAS1
848at40674	Complete	DEVILCHR5	237110877	237393163	+	5189.6	3260	https://www.orthodb.org/v10?query=848at40674	cubilin
854at40674	Complete	DEVILCHR5	94197012	94227169	+	6319.9	4220	https://www.orthodb.org/v10?query=854at40674	histone-lysine N-methyltransferase 2D
874at40674	Complete	DEVILCHR1	267935227	268076045	-	8035.0	3597	https://www.orthodb.org/v10?query=874at40674	transformation/transcription domain-associated protein
889at40674	Complete	DEVILCHR5	147277199	147791714	-	6309.7	3067	https://www.orthodb.org/v10?query=889at40674	Reelin
890at40674	Complete	DEVILCHR5	202034770	202274743	-	6650.3	3982	https://www.orthodb.org/v10?query=890at40674	histone-lysine N-methyltransferase 2C isoform X1
894at40674	Complete	DEVILCHR3	536790489	536897131	+	5088.9	3999	https://www.orthodb.org/v10?query=894at40674	dynein heavy chain domain 1 
898at40674	Complete	DEVILCHR1	345799616	345914630	-	4924.9	3323	https://www.orthodb.org/v10?query=898at40674	polycystin-1
937at40674	Complete	DEVILCHR6	152376706	152631626	-	6599.3	3088	https://www.orthodb.org/v10?query=937at40674	WD repeat and FYVE domain containing 3 
943at40674	Complete	DEVILCHR2	241224473	241338252	-	4683.1	3064	https://www.orthodb.org/v10?query=943at40674	laminin subunit alpha-5
950at40674	Complete	DEVILCHRX	82583289	82660600	-	6677.2	3549	https://www.orthodb.org/v10?query=950at40674	E3 ubiquitin-protein ligase HUWE1 isoform X1
