# BUSCO version is: 5.2.2 
# The lineage dataset is: mammalia_odb10 (Creation date: 2020-09-10, number of genomes: 9226, number of BUSCOs: 24)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
100at40674	Complete	PLATYCHR1	14112889	14549470	-	9022.0	5447	https://www.orthodb.org/v10?query=100at40674	G-protein coupled receptor 98
167at40674	Complete	PLATYCHR19	28218808	28305742	-	7351.4	4531	https://www.orthodb.org/v10?query=167at40674	midasin
198at40674	Complete	PLATYCHR19	9925405	10345585	+	6734.8	4244	https://www.orthodb.org/v10?query=198at40674	usherin
250at40674	Missing
255at40674	Complete	PLATYCHR6	47900967	48039103	-	5872.2	3962	https://www.orthodb.org/v10?query=255at40674	FAT atypical cadherin 4
256at40674	Missing
279at40674	Complete	PLATYCHR1	61714631	61784760	+	9642.6	4279	https://www.orthodb.org/v10?query=279at40674	cytoplasmic dynein 1 heavy chain 1
281at40674	Complete	PLATYCHR12	53692957	53851686	+	8568.3	4185	https://www.orthodb.org/v10?query=281at40674	uncharacterized protein KIAA1109 homolog isoform X1
310at40674	Complete	PLATYCHR11	35578511	35845441	+	6617.7	4081	https://www.orthodb.org/v10?query=310at40674	hydrocephalus-inducing protein homolog
361at40674	Complete	PLATYCHR20	1060056	1088355	-	8011.6	3891	https://www.orthodb.org/v10?query=361at40674	sacsin
362at40674	Complete	PLATYCHR18	14177883	14380509	-	7942.7	4147	https://www.orthodb.org/v10?query=362at40674	E3 ubiquitin-protein ligase HERC2
424at40674	Complete	PLATYCHR20	25642269	25930156	-	7320.4	3947	https://www.orthodb.org/v10?query=424at40674	protocadherin Fat 3
425at40674	Complete	PLATYCHR2	134049751	134360529	-	9214.2	4222	https://www.orthodb.org/v10?query=425at40674	E3 ubiquitin-protein ligase MYCBP2 isoform X1
475at40674	Complete	PLATYCHR1	69442555	69705717	+	8029.6	3884	https://www.orthodb.org/v10?query=475at40674	baculoviral IAP repeat-containing protein 6
514at40674	Complete	PLATYCHR9	15601272	15763876	-	6806.1	3928	https://www.orthodb.org/v10?query=514at40674	low-density lipoprotein receptor-related protein 2
530at40674	Complete	PLATYCHR9	31561706	31596370	-	6064.0	3970	https://www.orthodb.org/v10?query=530at40674	apolipoprotein B-100
556at40674	Complete	PLATYCHR5	49150531	49281262	+	9166.6	4310	https://www.orthodb.org/v10?query=556at40674	probable E3 ubiquitin-protein ligase HERC1
565at40674	Complete	PLATYCHRX5	6631364	6763396	-	7262.6	3862	https://www.orthodb.org/v10?query=565at40674	dynein heavy chain 2, axonemal
584at40674	Missing
587at40674	Complete	PLATYCHR5	78815409	78890148	-	5567.8	3422	https://www.orthodb.org/v10?query=587at40674	basement membrane-specific heparan sulfate proteoglycan core protein
594at40674	Complete	PLATYCHR4	70410071	70569681	+	6113.2	3534	https://www.orthodb.org/v10?query=594at40674	fibrocystin-L
626at40674	Complete	PLATYCHR5	65683574	65986364	-	7079.1	3612	https://www.orthodb.org/v10?query=626at40674	Vacuolar protein sorting 13 homolog D
629at40674	Complete	PLATYCHR20	20876131	21070227	-	7128.7	3767	https://www.orthodb.org/v10?query=629at40674	cytoplasmic dynein 2 heavy chain 1
635at40674	Complete	PLATYCHRX2	16557515	16702478	-	6426.0	3647	https://www.orthodb.org/v10?query=635at40674	dynein heavy chain 1, axonemal
760at40674	Complete	PLATYCHRX1	33001869	33064220	+	6058.8	3642	https://www.orthodb.org/v10?query=760at40674	protocadherin Fat 2
763at40674	Complete	PLATYCHR2	20391279	20589464	-	7714.8	3823	https://www.orthodb.org/v10?query=763at40674	probable E3 ubiquitin-protein ligase HECTD4
805at40674	Complete	PLATYCHR10	10066967	10217446	-	4419.7	2960	https://www.orthodb.org/v10?query=805at40674	extracellular matrix protein FRAS1
848at40674	Missing
854at40674	Complete	PLATYCHR10	54717430	54742947	-	4393.3	3812	https://www.orthodb.org/v10?query=854at40674	histone-lysine N-methyltransferase 2D
874at40674	Complete	PLATYCHR2	44103129	44250776	-	7982.6	3652	https://www.orthodb.org/v10?query=874at40674	transformation/transcription domain-associated protein
889at40674	Complete	PLATYCHR13	25032231	25320039	+	5930.0	2895	https://www.orthodb.org/v10?query=889at40674	Reelin
890at40674	Complete	PLATYCHR13	3926821	4136110	-	6615.1	3983	https://www.orthodb.org/v10?query=890at40674	histone-lysine N-methyltransferase 2C isoform X1
894at40674	Complete	PLATYCHR2	138043153	138094563	-	3691.0	3642	https://www.orthodb.org/v10?query=894at40674	dynein heavy chain domain 1 
898at40674	Complete	PLATYCHR21	16769597	16827535	-	4424.2	3275	https://www.orthodb.org/v10?query=898at40674	polycystin-1
937at40674	Complete	PLATYCHR12	55765606	55961434	+	6284.4	3066	https://www.orthodb.org/v10?query=937at40674	WD repeat and FYVE domain containing 3 
943at40674	Fragmented	PLATYCHR8	16623320	16730022	-	2975.7	2130	https://www.orthodb.org/v10?query=943at40674	laminin subunit alpha-5
950at40674	Complete	PLATYCHR6	21134652	21227118	+	7009.8	3695	https://www.orthodb.org/v10?query=950at40674	E3 ubiquitin-protein ligase HUWE1 isoform X1
984at40674	Complete	PLATYCHR2	47775722	47855316	+	7609.3	3403	https://www.orthodb.org/v10?query=984at40674	SMG1, nonsense mediated mRNA decay associated PI3K related kinase
1000at40674	Complete	PLATYCHRX5	41106124	41330318	-	5073.0	2983	https://www.orthodb.org/v10?query=1000at40674	Sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
1024at40674	Complete	PLATYCHR9	53812123	53934807	+	6358.5	3067	https://www.orthodb.org/v10?query=1024at40674	ubiquitin carboxyl-terminal hydrolase 34 isoform X1
1040at40674	Complete	PLATYCHRX1	15919814	16262867	-	4342.8	3188	https://www.orthodb.org/v10?query=1040at40674	fibrocystin
1066at40674	Complete	PLATYCHR4	15588802	15835740	-	5244.5	4083	https://www.orthodb.org/v10?query=1066at40674	ATP-binding cassette sub-family A member 13
1155at40674	Complete	PLATYCHR9	20961991	21263818	-	57091.6	30056	https://www.orthodb.org/v10?query=1155at40674	titin
1192at40674	Complete	PLATYCHR17	22080520	22109504	+	3867.3	2396	https://www.orthodb.org/v10?query=1192at40674	protein SZT2
1316at40674	Complete	PLATYCHR20	6291231	6363291	+	4737.1	2618	https://www.orthodb.org/v10?query=1316at40674	FRAS1-related extracellular matrix protein 2
1323at40674	Fragmented	PLATYCHR18	14575343	14582227	-	465.3	543	https://www.orthodb.org/v10?query=1323at40674	ALMS1, centrosome and basal body associated protein
1327at40674	Complete	PLATYCHR19	1358367	1439569	-	5379.0	3129	https://www.orthodb.org/v10?query=1327at40674	lysosomal-trafficking regulator
1386at40674	Complete	PLATYCHR11	54064590	54110735	-	3759.9	2259	https://www.orthodb.org/v10?query=1386at40674	Histone-lysine N-methyltransferase
1456at40674	Complete	PLATYCHR11	42988614	43001903	-	2534.8	3505	https://www.orthodb.org/v10?query=1456at40674	zinc finger protein 469
1478at40674	Complete	PLATYCHR14	35662921	35833573	+	3557.5	2558	https://www.orthodb.org/v10?query=1478at40674	cilia- and flagella-associated protein 54
1499at40674	Complete	PLATYCHR20	18911570	18984415	-	4522.6	2605	https://www.orthodb.org/v10?query=1499at40674	Serine-protein kinase ATM
1510at40674	Complete	PLATYCHR12	19381947	19528128	+	4286.9	2786	https://www.orthodb.org/v10?query=1510at40674	protocadherin-23
1577at40674	Complete	PLATYCHR5	50791392	50946609	+	5870.8	3182	https://www.orthodb.org/v10?query=1577at40674	Vacuolar protein sorting 13 homolog C
1579at40674	Complete	PLATYCHR17	10167279	10358205	+	5199.6	2467	https://www.orthodb.org/v10?query=1579at40674	neurofibromin
1590at40674	Complete	PLATYCHRX5	62613824	62718404	+	4226.2	2435	https://www.orthodb.org/v10?query=1590at40674	vacuolar protein sorting-associated protein 13A isoform X1
1605at40674	Complete	PLATYCHR2	137956914	137995343	+	4444.8	2894	https://www.orthodb.org/v10?query=1605at40674	Dachsous cadherin-related 1
1660at40674	Complete	PLATYCHR19	23845925	23988613	+	4460.2	2500	https://www.orthodb.org/v10?query=1660at40674	Collagen type XII alpha 1 chain
1664at40674	Fragmented	PLATYCHR13	29240492	29492577	-	5180.1	2960	https://www.orthodb.org/v10?query=1664at40674	protein piccolo
1681at40674	Complete	PLATYCHRX5	28005358	28128642	+	4505.2	2342	https://www.orthodb.org/v10?query=1681at40674	Dmx like 1
1699at40674	Complete	PLATYCHR2	135322366	135351161	+	3413.8	2061	https://www.orthodb.org/v10?query=1699at40674	E3 SUMO-protein ligase RanBP2 isoform X1
1720at40674	Complete	PLATYCHR12	59350409	59436376	-	4765.6	2486	https://www.orthodb.org/v10?query=1720at40674	protein furry homolog-like isoform X1
1750at40674	Complete	PLATYCHRX4	1026246	1068151	-	3565.9	2516	https://www.orthodb.org/v10?query=1750at40674	von Willebrand factor
1759at40674	Complete	PLATYCHR5	4235360	4264187	-	4306.5	2399	https://www.orthodb.org/v10?query=1759at40674	multiple epidermal growth factor-like domains protein 8
1763at40674	Complete	PLATYCHR8	880955	938357	+	4780.9	2489	https://www.orthodb.org/v10?query=1763at40674	dmX-like protein 2
1869at40674	Complete	PLATYCHR17	1179193	1228664	+	3539.6	2000	https://www.orthodb.org/v10?query=1869at40674	zinc finger ZZ-type and EF-hand domain containing 1 
1900at40674	Fragmented	PLATYCHRX2	4187327	4232981	+	2060.6	1278	https://www.orthodb.org/v10?query=1900at40674	Nuclear receptor binding SET domain protein 1
2052at40674	Complete	PLATYCHR5	63156725	63243913	-	4764.9	2989	https://www.orthodb.org/v10?query=2052at40674	Spen family transcriptional repressor
2138at40674	Complete	PLATYCHR13	1916025	1954446	+	3395.5	2243	https://www.orthodb.org/v10?query=2138at40674	neurobeachin-like protein 2
2160at40674	Complete	PLATYCHR17	31936100	32044296	+	2395.1	2016	https://www.orthodb.org/v10?query=2160at40674	Crystallin beta-gamma domain containing 3
2199at40674	Missing
2210at40674	Complete	PLATYCHR2	34059561	34156495	-	3596.3	2524	https://www.orthodb.org/v10?query=2210at40674	unconventional myosin-XV
2247at40674	Complete	PLATYCHR1	107190254	107297278	+	4104.9	2191	https://www.orthodb.org/v10?query=2247at40674	serine/threonine-protein kinase ATR
2256at40674	Complete	PLATYCHR18	44109527	44160167	+	4425.9	2318	https://www.orthodb.org/v10?query=2256at40674	ubiquitin carboxyl-terminal hydrolase 24
2319at40674	Complete	PLATYCHR2	6091133	6145563	-	4219.1	2337	https://www.orthodb.org/v10?query=2319at40674	eIF-2-alpha kinase activator GCN1
2333at40674	Complete	PLATYCHR7	29180178	29391378	+	3960.7	2126	https://www.orthodb.org/v10?query=2333at40674	ATP-binding cassette sub-family A member 12
2335at40674	Complete	PLATYCHR7	28942336	29032079	+	4043.4	2112	https://www.orthodb.org/v10?query=2335at40674	Fibronectin 1
2345at40674	Complete	PLATYCHR3	93826536	93961899	-	5274.4	2619	https://www.orthodb.org/v10?query=2345at40674	nipped-B-like protein
2351at40674	Complete	PLATYCHR14	26335628	26474712	+	3344.7	2020	https://www.orthodb.org/v10?query=2351at40674	otogelin-like protein
2376at40674	Complete	PLATYCHR17	5712381	5732589	+	4187.1	1864	https://www.orthodb.org/v10?query=2376at40674	pre-mRNA-processing-splicing factor 8
2383at40674	Complete	PLATYCHR21	5286241	5335510	-	3962.1	2433	https://www.orthodb.org/v10?query=2383at40674	TPR and ankyrin repeat-containing protein 1
2387at40674	Complete	PLATYCHR5	47731801	47955396	+	3300.3	2023	https://www.orthodb.org/v10?query=2387at40674	unconventional myosin-IXa
2404at40674	Complete	PLATYCHR11	6024790	6173287	-	4730.3	2432	https://www.orthodb.org/v10?query=2404at40674	Chromodomain helicase DNA binding protein 9
2441at40674	Complete	PLATYCHR8	22495365	22597870	+	3627.3	1973	https://www.orthodb.org/v10?query=2441at40674	chromodomain-helicase-DNA-binding protein 6
2444at40674	Complete	PLATYCHR19	27095752	27112410	+	3958.8	2154	https://www.orthodb.org/v10?query=2444at40674	Zinc finger protein 292
2466at40674	Complete	PLATYCHR7	6809653	6923698	-	5264.7	2517	https://www.orthodb.org/v10?query=2466at40674	Chromodomain helicase DNA binding protein 7
2478at40674	Fragmented	PLATYCHR4	36008724	36014069	-	966.2	837	https://www.orthodb.org/v10?query=2478at40674	probable helicase senataxin isoform X1
